dataset,modelo,n_train,n_test,MAE,RMSE,MAPE_pct,R2
JOSSE,baseline_media,17389,5797,0.6666571652155848,0.8697878064252798,127.95895885940878,-7.653866278101162e-06
JOSSE,regresion_lineal,17389,5797,0.48604840500195773,0.6799103975283927,82.9012079385641,0.38894534148922766
JOSSE,bosque_aleatorio,17389,5797,0.5169087394096764,0.721697737817256,87.7961910543633,0.31152625663164435
SEERA,baseline_media,90,30,0.9819825369808031,1.1752988582447126,10.703769626540419,-0.2393482524953563
SEERA,regresion_lineal,90,30,0.6598791954023614,0.856109285493715,7.277054797588904,0.3424100832865081
SEERA,bosque_aleatorio,90,30,0.36265856241401245,0.4620521235613177,4.1256800994344145,0.8084515370585832
